X,Y,00:bb:60:5c:28:30,2c:30:33:49:f1:51,a0:63:91:d9:cf:bb,ac:23:16:eb:20:d1,ac:23:16:eb:20:d2,ac:23:16:eb:20:d3,ac:23:16:eb:20:e1,ac:23:16:eb:20:e2,ac:23:16:eb:20:e3,ac:23:16:eb:36:91,ac:23:16:eb:36:92,ac:23:16:eb:36:93,ac:23:16:eb:36:a1,ac:23:16:eb:36:a2,ac:23:16:eb:36:a3,ac:23:16:eb:39:12,ac:23:16:eb:39:13,ac:23:16:eb:39:51,ac:23:16:eb:39:52,ac:23:16:eb:39:53,ac:23:16:eb:39:61,ac:23:16:eb:39:62,ac:23:16:eb:39:63,ac:23:16:eb:3a:12,ac:23:16:eb:3a:d1,ac:23:16:eb:3a:d2,ac:23:16:eb:3a:d3,ac:23:16:eb:3a:e1,ac:23:16:eb:3a:e2,ac:23:16:eb:3a:e3,ac:23:16:eb:3b:d1,ac:23:16:eb:3b:d2,ac:23:16:eb:4b:91,ac:23:16:eb:4b:92,ac:23:16:eb:4b:93,ac:23:16:eb:4b:a1,ac:23:16:eb:4b:a2,ac:23:16:eb:4b:a3,ac:23:16:eb:4b:d1,ac:23:16:eb:4b:d2,ac:23:16:eb:4f:91,ac:23:16:eb:4f:92,ac:23:16:eb:51:51,ac:23:16:eb:51:52,ac:23:16:eb:51:53,ac:23:16:eb:51:61,ac:23:16:eb:51:62,ac:23:16:eb:51:63,ac:23:16:eb:52:d1,ac:23:16:eb:52:d2,ac:23:16:eb:52:d3,ac:23:16:eb:52:e1,ac:23:16:eb:52:e2,ac:23:16:eb:52:e3,ac:23:16:ec:4b:91,ac:23:16:ec:50:d1,ac:23:16:ec:50:d2,ac:23:16:ec:50:d3,ac:23:16:ec:50:e1,ac:23:16:ec:50:e2,ac:23:16:ec:50:e3,ac:23:16:ec:5a:11,ac:23:16:ec:5a:12,ac:23:16:ec:5d:91,ac:23:16:ec:5d:92,ac:23:16:ec:5d:93,ac:23:16:ec:60:12,ac:23:16:ec:65:d3,ac:23:16:ec:65:e1,ac:23:16:ec:65:e2,ac:23:16:ec:68:51,ac:23:16:ec:68:52,ac:23:16:ec:68:53,ac:23:16:ec:68:61,ac:23:16:ec:68:62,ac:23:16:ec:68:63,ac:23:16:ec:6a:51,ac:23:16:ec:6a:52,ac:23:16:ec:6b:91,ac:23:16:ec:6b:92,ac:23:16:ec:6c:11,ac:23:16:ec:6c:12,ac:23:16:ec:6c:13,ac:23:16:ec:6c:22,ac:23:16:ec:6c:23,ac:23:16:ec:70:51,ac:23:16:ec:70:52,ac:23:16:ec:70:53,ac:23:16:ec:70:61,ac:23:16:ec:70:62,ac:23:16:ec:70:63,ac:23:16:ec:70:d1,ac:23:16:ec:71:51,ac:23:16:ec:71:52,ac:23:16:ec:71:53,ac:23:16:ec:71:61,ac:23:16:ec:71:62,ac:23:16:ec:71:63,ac:23:16:ec:7d:11,ac:23:16:ec:7d:12,ac:23:16:ec:82:91,ac:23:16:ec:82:92,ac:23:16:ec:82:93,ac:23:16:ec:82:a1,ac:23:16:ec:82:a2,ac:23:16:ec:82:a3,ac:23:16:ec:82:d1,ac:23:16:ec:82:d2,ac:23:16:ec:82:d3,ac:23:16:ec:82:e1,ac:23:16:ec:82:e2,dc:71:96:91:24:a4,ac:23:16:eb:39:11,ac:23:16:eb:39:21,ac:23:16:eb:39:22,ac:23:16:eb:39:23,ac:23:16:eb:3b:d3,ac:23:16:eb:3d:62,ac:23:16:eb:3d:63,ac:23:16:eb:44:52,ac:23:16:eb:44:61,ac:23:16:eb:44:62,ac:23:16:eb:45:11,ac:23:16:eb:45:12,ac:23:16:eb:45:22,ac:23:16:eb:46:a2,ac:23:16:eb:48:11,ac:23:16:eb:4b:d3,ac:23:16:eb:4d:91,ac:23:16:eb:4d:92,ac:23:16:eb:4d:93,ac:23:16:eb:4f:93,ac:23:16:ec:53:91,ac:23:16:ec:53:92,ac:23:16:ec:53:93,ac:23:16:ec:53:a1,ac:23:16:ec:53:a2,ac:23:16:ec:5a:13,ac:23:16:ec:5a:21,ac:23:16:ec:5a:22,ac:23:16:ec:5d:a1,ac:23:16:ec:5d:a2,ac:23:16:ec:60:11,ac:23:16:ec:60:13,ac:23:16:ec:60:21,ac:23:16:ec:60:22,ac:23:16:ec:6a:53,ac:23:16:ec:6d:11,ac:23:16:ec:6d:12,ac:23:16:ec:6d:13,ac:23:16:ec:6d:21,ac:23:16:ec:6d:22,ac:23:16:ec:80:51,ac:23:16:ec:80:52,ac:23:16:ec:80:53,ac:23:16:ec:83:91,ac:23:16:ec:83:92,ac:23:16:ec:83:93,dc:44:6d:95:54:77,ac:23:16:eb:44:51,ac:23:16:eb:45:13,ac:23:16:eb:45:21,ac:23:16:eb:48:12,ac:23:16:eb:48:13,ac:23:16:eb:48:21,ac:23:16:eb:48:22,ac:23:16:eb:48:51,ac:23:16:eb:48:52,ac:23:16:eb:48:53,ac:23:16:eb:48:61,ac:23:16:eb:48:62,ac:23:16:eb:48:63,ac:23:16:eb:4d:a2,ac:23:16:ec:53:a3,ac:23:16:ec:5d:d1,ac:23:16:ec:5d:d2,ac:23:16:ec:5d:d3,ac:23:16:ec:5d:e2,ac:23:16:ec:60:23,ac:23:16:ec:6a:61,ac:23:16:ec:6a:62,ac:23:16:ec:6d:23,ac:23:16:ec:6f:11,ac:23:16:ec:6f:12,ac:23:16:ec:6f:22,ac:23:16:ec:7d:13,ac:23:16:ec:7d:21,ac:23:16:ec:7d:22,ac:23:16:ec:7d:23,ac:23:16:ec:7d:91,ac:23:16:ec:7d:92,ac:23:16:ec:7d:93,ac:23:16:ec:7d:a1,ac:23:16:ec:7d:a2,ac:23:16:ec:83:a1,ac:23:16:ec:83:a2,ac:23:16:ec:83:a3,ac:23:16:eb:3d:52,ac:23:16:eb:3d:61,ac:23:16:eb:46:92,ac:23:16:eb:46:a1,ac:23:16:ec:65:d1,ac:23:16:ec:65:d2,ac:23:16:eb:3a:11,ac:23:16:ec:4b:92,ac:23:16:ec:6c:21,ac:23:16:ec:70:d2,6c:3b:6b:f5:1c:7b,ac:23:16:eb:44:53,ac:23:16:ec:5d:d4,ac:23:16:ec:6a:63,ac:23:16:ec:6f:13,ac:23:16:ec:78:52,a0:63:91:d9:cf:ba,ac:23:16:ec:65:e3,ac:23:16:eb:3b:e2,ac:23:16:eb:4b:e1,ac:23:16:eb:4d:a1,ac:23:16:ec:70:d3,ac:23:16:eb:3d:51,ac:23:16:eb:3b:e1,ac:23:16:eb:4b:e2,ac:23:16:ec:5d:a3,ac:23:16:ec:6f:14,ac:23:16:eb:46:91,ac:23:16:eb:46:93,ac:23:16:eb:44:63
-4.729264085,-8.266995333,-100,-100,-100,-79,-79,-79,-79,-100,-100,-59,-70,-74,-79,-79,-100,-100,-100,-53,-53,-54,-62,-62,-61,-79,-63,-63,-64,-76,-75,-100,-68,-79,-65,-65,-66,-75,-76,-100,-100,-79,-79,-79,-71,-100,-70,-79,-79,-100,-72,-71,-72,-100,-100,-100,-100,-79,-74,-79,-79,-79,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-79,-79,-79,-100,-74,-74,-74,-100,-79,-100,-100,-100,-79,-79,-79,-100,-100,-100,-100,-77,-77,-79,-79,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-5.504700166,-8.094806434,-83,-100,-100,-79,-79,-79,-79,-100,-100,-72,-70,-74,-79,-79,-100,-100,-100,-53,-53,-54,-66,-66,-66,-79,-63,-64,-65,-79,-79,-100,-68,-100,-63,-63,-64,-79,-79,-79,-100,-79,-79,-79,-71,-100,-68,-79,-79,-79,-71,-72,-72,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-69,-69,-70,-100,-79,-100,-100,-100,-79,-79,-79,-100,-100,-100,-100,-77,-78,-79,-79,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-5.807761793,-7.380555155,-83,-100,-100,-79,-79,-79,-79,-100,-100,-72,-70,-74,-79,-79,-100,-100,-100,-53,-53,-54,-66,-66,-66,-79,-63,-64,-65,-79,-79,-100,-68,-100,-63,-63,-64,-79,-79,-79,-100,-79,-79,-79,-71,-100,-68,-79,-79,-79,-71,-72,-72,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-69,-69,-70,-100,-79,-100,-100,-100,-79,-79,-79,-100,-100,-100,-100,-77,-78,-79,-79,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-6.008443215,-6.611303853,-82,-100,-100,-79,-79,-100,-79,-100,-100,-72,-100,-74,-100,-100,-100,-100,-100,-58,-58,-54,-70,-70,-69,-79,-57,-57,-65,-72,-72,-71,-100,-100,-71,-71,-71,-79,-79,-79,-100,-79,-79,-79,-71,-100,-68,-79,-79,-100,-77,-77,-77,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-77,-77,-77,-79,-79,-79,-100,-100,-77,-77,-78,-100,-100,-100,-79,-79,-79,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-6.217060841,-5.797878605,-82,-100,-100,-79,-79,-100,-79,-100,-100,-72,-100,-74,-100,-100,-100,-100,-100,-58,-58,-54,-70,-70,-69,-79,-57,-57,-65,-72,-72,-71,-100,-100,-71,-71,-71,-79,-79,-79,-100,-79,-79,-79,-71,-100,-68,-79,-79,-100,-77,-77,-77,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-77,-77,-77,-79,-79,-79,-100,-100,-77,-77,-78,-100,-100,-100,-79,-79,-79,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-6.47449288,-4.975688954,-82,-100,-100,-79,-79,-100,-100,-100,-100,-72,-100,-74,-100,-100,-100,-100,-100,-56,-57,-57,-64,-64,-64,-100,-59,-59,-59,-66,-66,-66,-100,-100,-75,-76,-76,-79,-79,-79,-100,-79,-79,-79,-72,-100,-73,-79,-79,-100,-77,-77,-77,-100,-79,-100,-100,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-79,-79,-79,-79,-100,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-77,-77,-77,-79,-79,-79,-100,-100,-72,-72,-74,-100,-100,-100,-78,-78,-78,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-7.036681572,-4.364130233,-82,-100,-100,-79,-79,-100,-100,-100,-100,-72,-100,-74,-100,-100,-100,-100,-100,-56,-57,-57,-64,-64,-64,-100,-59,-59,-59,-66,-66,-66,-100,-100,-75,-76,-76,-79,-79,-79,-100,-79,-79,-79,-72,-100,-73,-79,-79,-100,-77,-77,-77,-100,-79,-100,-100,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-79,-79,-79,-79,-100,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-77,-77,-77,-79,-79,-79,-100,-100,-72,-72,-74,-100,-100,-100,-78,-78,-78,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-7.859820682,-4.203177822,-82,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-57,-57,-67,-68,-68,-100,-60,-63,-63,-61,-61,-61,-100,-100,-72,-73,-73,-79,-79,-79,-100,-79,-79,-79,-73,-100,-74,-79,-79,-100,-73,-73,-73,-100,-79,-100,-100,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-77,-77,-77,-79,-79,-79,-100,-100,-76,-76,-77,-100,-79,-100,-79,-79,-79,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-8.475104588,-4.796578526,-82,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-57,-57,-67,-68,-68,-100,-60,-63,-63,-61,-61,-61,-100,-100,-72,-73,-73,-79,-79,-79,-100,-79,-79,-79,-73,-100,-74,-79,-79,-100,-73,-73,-73,-100,-79,-100,-100,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-77,-77,-77,-79,-79,-79,-100,-100,-76,-76,-77,-100,-79,-100,-79,-79,-79,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-9.31082992,-4.71401864,-76,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-65,-65,-68,-68,-68,-100,-54,-63,-63,-68,-68,-68,-100,-100,-74,-74,-75,-79,-79,-79,-100,-100,-79,-79,-73,-73,-74,-79,-79,-100,-73,-73,-73,-100,-79,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-79,-79,-100,-79,-79,-79,-79,-79,-100,-100,-100,-100,-79,-79,-79,-79,-79,-100,-100,-79,-79,-79,-79,-79,-79,-100,-100,-67,-67,-69,-100,-78,-100,-79,-79,-79,-79,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
